names,scores,logfoldchanges,pvals,pvals_adj
RECQL4,-2.5180478,-0.50631255,0.011800728316782463,0.03253587958172209
SETD1A,-2.5190864,-0.85835373,0.011765978862057604,0.03245146206512025
SAMD1,-2.5198941,-0.36802122,0.011739014286585034,0.03238846407485966
ZKSCAN1,-2.520702,-0.2854125,0.011712104538988018,0.032325573139055125
PPP3R1,-2.5228941,-0.51168036,0.011639339428866927,0.03214733165040426
IRF3,-2.5256636,-0.3130438,0.011547999074104164,0.03191749920024216
PHRF1,-2.526356,-0.7726746,0.0115252636085921,0.0318770935371447
FAM57A,-2.5277407,-1.2548757,0.01147991181468416,0.03176284160068477
UIMC1,-2.527856,-0.44010174,0.01147613965765464,0.03176284160068477
PET112,-2.528433,-0.48955348,0.011457295369203684,0.03172261372051285
NEK6,-2.5301638,-0.6801251,0.011400927186914177,0.03158881236444828
RAD54L,-2.531433,-0.44894797,0.01135974711880535,0.03148581990762739
TRIT1,-2.5330486,-0.2975087,0.011307527136377813,0.03135214460156997
ASH1L,-2.533741,-0.27725992,0.011285212467506748,0.031312378640856765
CCDC106,-2.5366256,-0.38938302,0.011192655003397623,0.031077520343474135
EIF2S1,-2.537318,-0.26542777,0.011170541782632798,0.0310270882965278
FAM210B,-2.5374334,-0.2547678,0.01116686002078405,0.0310270882965278
C9orf85,-2.5385873,-0.72466224,0.011130101639792616,0.030936641323627386
NUDT6,-2.539049,-0.49013415,0.011115428407386363,0.030917737301706754
CENPL,-2.5392797,-0.41377622,0.011108098236952309,0.030908293181459576
SLC25A10-1,-2.5398567,-0.9799114,0.011089791593970286,0.030868289500579942
RNH1,-2.5427413,-0.31423753,0.01099865981261694,0.030636337882307116
THOC3,-2.543549,-0.33717299,0.010973262442749133,0.03057643720744748
SPR,-2.5436645,-0.38233432,0.010969638504308512,0.03057643720744748
YTHDC2,-2.5451646,-0.6711407,0.010922623989045014,0.030467759742169243
GALNT2,-2.5453954,-0.34159032,0.010915406902609897,0.030458444483126377
ABCF3,-2.5459723,-0.7100676,0.010897382724366304,0.030418955685819943
EVL,-2.5472417,-0.66891944,0.01085782261226966,0.030330084146293807
CWC25,-2.549434,-0.40589935,0.010789792089177895,0.03016150066209693
F2R,-2.5498955,-0.61888945,0.010775518251799896,0.030132323199675393
ZKSCAN5,-2.550588,-0.77613753,0.010754138970767302,0.030083248438524626
LINC00470,-2.5516264,-0.5216853,0.010722140756443668,0.030004423100058783
RDH11,-2.5518572,-0.38643667,0.010715041548551867,0.029995242823904103
VWA8,-2.552665,-0.7280088,0.010690227221846815,0.029936447353870493
HOXB2,-2.5537035,-0.2844605,0.010658398177209191,0.029857959230377387
DMAP1,-2.5571651,-0.45121074,0.010552909137000696,0.029583547919750347
UBTF,-2.5578575,-0.31768185,0.010531923114108341,0.029535257429961093
CRYZ,-2.5648963,-0.89925015,0.010320663309671269,0.028984201035919848
